Sieve Sizes (mm),C.M,% Passing
4.75,2.31,96
3.35,5.51,94.49
2.36,8.46,91.54
2,9.57,89.4
1.18,12.61,87.39
0.85,17.86,82.14
0.6,19.62,75.2
0.425,21.63,65.7
0.3,23.55,61.6
0.15,33.26,50.5
0.075,35.84,42.1
