Sieve Sizes (mm),C.M,% Passing
5,2.31,100
3.35,5.51,100
2.36,8.46,100
2,9.57,100
1.18,12.61,99.7
0.85,17.86,99.68
0.6,19.62,99.62
0.425,21.63,98.86
0.3,23.55,96.5
0.15,33.26,94.7
0.075,35.84,91.15
