Sieve Sizes (mm),C.M,% Passing
5,2.31,100
3.35,5.51,97.4
2.36,8.46,95.3
2,9.57,93.3
1.18,12.61,89.2
0.85,17.86,84.2
0.6,19.62,79.2
0.425,21.63,63.6
0.3,23.55,55.4
0.15,33.26,50.5
0.075,35.84,46.9
