0.45,1.61,3.58,7.32,0.39,16.41,12
0.50,2.84,5.68,5.5,0.61,13.02,190
0.78,3.35,4.27,5.87,1.04,14.69,214
0.60,2.06,3.43,5.9,1.48,15.7,142
0.65,2.68,4.13,5.55,1.11,14.18,186
0.66,2.9,4.39,6.62,0.47,15.1,190
0.52,2.56,4.88,5.71,0.85,13.97,158
0.58,2.19,3.8,5.89,1.28,15.25,40
0.63,2.34,3.74,5.74,1.31,15.01,44
0.55,2.11,3.83,6.5,0.72,15.38,28
0.50,1.95,3.9,6.66,0.68,15.63,16
0.58,2.75,4.78,5.53,0.9,13.69,170
0.55,2.35,4.27,5.75,1.15,14.69,118
0.53,1.84,3.5,6.6,0.94,16.05,10
0.60,2.52,4.2,5.71,1.07,14.43,158
0.51,2.1,4.09,6.56,0.61,15.25,18
0.50,2.31,4.62,6.19,0.65,14.57,76
0.59,2.23,3.79,6.12,1.02,15.19,28
0.55,2.35,4.27,5.81,1.09,14.69,56
0.60,2.26,3.77,5.81,1.29,15.19,50
0.52,2.4,4.58,6.1,0.68,14.43,76
0.49,2.01,4.13,6.64,0.58,15.38,28
0.51,2.22,4.33,6.18,0.82,14.89,35
0.50,1.95,3.9,6.61,0.73,15.63,15
0.56,2.39,4.26,6.07,0.8,14.63,10
0.54,1.97,3.66,6.55,0.84,15.73,5
0.57,2.3,4.01,6.12,0.89,14.93,38
0.55,2.66,4.83,5.62,0.88,13.83,160
0.54,2.45,4.56,5.73,1.01,14.36,150
0.56,2.54,4.51,5.71,0.97,14.22,144
0.54,2.07,3.85,6.27,0.98,15.44,28
0.56,2.26,4.03,5.82,1.22,14.99,30
0.59,2.35,3.99,5.8,1.18,14.86,56
0.61,2.42,3.96,5.73,1.2,14.74,170
0.57,2.08,3.62,6.18,1.12,15.55,20
0.54,2.31,4.29,6.15,0.78,14.76,40
0.56,2.15,3.82,6.19,1,15.32,48
0.55,2.22,4.04,6.15,0.92,15.05,148
0.58,2.44,4.24,5.73,1.11,14.56,148
0.52,2.14,4.08,6.23,0.91,15.18,62
0.59,2.32,3.91,5.79,1.23,14.95,148
0.54,2.33,4.28,5.8,1.11,14.72,176
0.56,2.07,3.69,6.3,0.99,15.52,108
0.53,2.27,4.31,6.26,0.7,14.81,146
0.50,2.16,4.36,6.38,0.66,14.99,50
0.53,1.97,3.73,6.4,0.97,15.68,16
0.58,2.44,4.23,5.69,1.14,14.55,156
0.55,2.17,3.98,6.32,0.82,15.19,154
0.51,2.06,4.02,6.35,0.87,15.36,142
0.56,2.59,4.61,5.66,0.95,14.08,154
0.65,2.20,3.38,6.91,0.36,15.48,200
0.55,3.05,5.55,5.37,0.60,12.71,58
0.60,2.52,4.20,5.76,1.02,14.43,160
0.45,1.61,3.58,6.17,1.54,16.41,10
0.50,2.18,4.35,5.86,1.17,14.96,17
0.60,2.52,4.20,6.33,0.45,14.43,150
0.63,2.34,3.74,6.40,0.65,15.01,68
0.55,1.91,3.48,6.55,0.94,15.93,24
0.58,2.19,3.80,6.45,0.72,15.25,36
0.58,2.75,4.78,5.60,0.84,13.69,160
0.50,2.18,4.35,5.86,1.17,14.96,25
0.53,2.56,4.88,5.64,0.92,13.97,158
0.53,2.03,3.87,5.98,1.30,15.50,85
0.55,2.35,4.27,5.81,1.09,14.69,10
0.48,1.87,3.93,6.03,1.37,15.76,15
0.56,2.04,3.63,6.50,0.83,15.61,46
0.55,2.35,4.27,6.10,0.81,14.69,149
0.51,2.10,4.09,5.92,1.24,15.25,44
0.53,2.03,3.87,6.24,1.04,15.50,58
0.54,2.18,4.06,5.90,1.20,15.12,106
0.59,2.50,4.21,6.15,0.64,14.46,170
0.56,2.07,3.69,6.33,0.96,15.52,58
0.54,2.17,3.98,6.28,0.86,15.19,60
0.53,2.27,4.31,5.84,1.12,14.81,14
0.58,2.27,3.93,6.25,0.81,15.03,74
0.56,2.26,4.03,6.15,0.89,14.99,102
0.53,2.26,4.31,5.83,1.13,14.83,172
0.55,2.11,3.83,6.22,1.01,15.38,16
0.54,2.18,4.06,6.17,0.93,15.12,10
0.58,2.44,4.24,6.07,0.77,14.56,126
